No,Name,Location,Map,Contact,Type,Category,Website,Services Offered,Operating Hours,Target Group,NSSF Supported
1,Sombok Psychology,Boeung Keng Kang,View Map,077566110,Clinic,Mental Health Service,Visit Web,"Counseling, Therapy","Mon-Fri 8:00AM-5:00PM, Sat 8:00AM-7:00PM","Children, Adolescents, Adults",No
2,Mind Care Clinic,Russey Keo,View Map,N/A,Clinic,Mental Health Clinic,N/A,N/A,N/A,N/A,No
3,TPO Cambodia,Sen Sok,View Map,095777004,NGO,Non-profit Organization,Visit Web,"Mental health support, Counseling, Community programs",Mon-Sun 8:00AM-4:00PM,"Community, Vulnerable groups",No
4,sunrisementalcabinet,Sen Sok,View Map,085545545,Clinic,Mental Health Service,View Web,"Counseling, Therapy",Mon-Sun 8:00AM-6:00PM,Adults,No
5,Royal Phnom Penh Hospital,Sen Sok,View Map,023991000,Hospital,Healthcare Provider,View Web,"General healthcare, emergency care",Open 24/7,All ages,No
6,Bright Minds,Chamkar Mon,View Map,077532041,Clinic,Mental Health Service,View Web,"Counseling, therapy","Mon-Fri 9:00AM-6:00PM, Sat 9:00AM-2:00PM",Adults,No
7,Mental Heath Trust by Prof. Heng Sovandara,Russey Keo,View Map,012388128,Clinic,Mental Health Service,View Web,"Counseling, Therapy","Mon-Fri 1:00-9:00PM, Sat-Sun 7:00AM-9:00PM",Adults,No
8,Calmette Hospital (Mental Health Unit),Daun Penh,View Map,023426948,Hospital,Healthcare Provider,View Web,"Psychiatric services, mental health consultation, counseling",Open 24/7,All ages,Yes
9,Khmer-Soviet Friendship Hospital (Psychiatry Dept.),Mean Chey,View Map,023217524,Hospital,Healthcare Provider,View Web,"Psychiatric services, mental health consultation, counseling",Open 24/7,All ages,Yes
10,Sunrise Japan Hospital Phnom Penh,Chroy Changvar,View Map,023260152,Hospital,Healthcare Provider,View Web,"General healthcare, emergency care, specialized medical services, mental health services",Open 24/7,All ages,No
11,International Organization for Migration (Mental Health Support),Daun Penh,View Map,095805306,NGO,Mental Health Service,View Web,"Mental health support, psychosocial support, counseling",Mon-Fri 7:30AM-5:00PM,"Community, vulnerable groups",No
12,International SOS Clinic,Tuol Kouk,View Map,023216932,Clinic,Mental Health Clinic,View Web,"General healthcare, emergency care, mental health support",Mon-Fri 8:00AM-5:00PM,All ages,No
13,Raffles Medical Phnom Penh,Daun Penh,View Map,023216911,Clinic,Healthcare Provider,View Web,"General healthcare, consultation, mental health support",Mon-Sun 7:00AM-9:00PM,All ages,No
14,Central Hospital (Phnom Penh),Daun Penh,View Map,023214955,Hospital,Healthcare Provider,View Web,"General healthcare, consultation, medical treatment",Open 24/7,All ages,No
15,Sen Sok International University Hospital (mental health service),Sen Sok,View Map,070888251,Hospital,Healthcare Provider,View Web,"General healthcare, consultation, medical treatment",Open 24/7,All ages,Yes
16,Khema International Polyclinic (mental health support),Boeung Keng Kang,View Map,098911811,Clinic,Mental Health Clinic,View Web,"General healthcare, consultation, mental health support",Open 24/7,All ages,No
17,WHO Cambodia (mental health initiatives),Boeung Keng Kang,View Map,N/A,NGO,Non-profit Organization,N/A,"Mental health support, policy development, program support",N/A,"Community, vulnerable groups",No
18,Amari Mental Health Center,Daun Penh,View Map,0966965999,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy",Mon-Sat 8:00AM-7:00PM,Adults,No
19,Serena Clinic,Sen Sok,View Map,086988289,Clinic,Mental Health Clinic,N/A,"Mental health consultation, counseling, therapy",Mon-Sun 8:00AM-8:00PM,"Adults, Adolescents",No
20,Piphup Panha Mental Care Clinic,Tuol Kouk,View Map,015788773,Clinic,Mental Health Clinic,N/A,"Mental health consultation, counseling, therapy",Mon-Sun 6:00AM-8:00PM,Adults,No
21,Counselling Centre for Living Well,Sen Sok,View Map,092677021,Service,Mental Health Service,View Web,"Counseling, psychotherapy, mental health support",Tue-Fri 9:00AM-5:00PM,Adults,No
22,TTK Mental Clinic,Mean Chey,View Map,012650115,Clinic,Mental Health Clinic,N/A,"Mental health consultation, counseling, therapy","Mon-Fri 7:00AM-7:00PM, Sat-Sun 7:30AM-6:00PM",Adults,No
23,Mental Care Dr. Toun Sovannith,Sen Sok,View Map,012375733,Clinic,Mental Health Service,View Web,"Mental health consultation, counseling, therapy",Mon-Fri 9:00AM-5:00PM,Adults,No
24,SMC Clinic Hypnosis and Psychoanalysis,Boeung Keng Kang,View Map,017545565,Clinic,Mental Health Clinic,N/A,"Mental health consultation, counseling, therapy",Mon-Fri 7:30AM-6:00PM,Adults,No
25,Early Intervention and Complex Care in Psychiatry,Russey Keo,View Map,012388128,Service,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy","Mon-Fri 1:00PM-9:00PM, Sat-Sun 7:00AM-9:00PM","Children, Adolescents",No
26,Develda Medical Center,Tuol Kouk,View Map,017277077,Service,General,View Web,General healthcare,Open 24/7,All ages,No
27,Mental Clinic Spécialiste en psychologie Hypnosis and Psychoanalysis,Dangkor,View Map,087744913,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy",Mon-Sat 9:00AM-12:00AM,Adults,No
28,Indradhanu Child & Adolescent Mental Health Clinic,Russey Keo,View Map,012775572,Clinic,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy",Mon-Sun 8:00AM-5:00PM,Children,No
29,Dr Krzysztof Kosminski (psychiatrist),Daun Penh,View Map,087449754,Service,Healthcare Provider,View Web,"Mental health consultation, counseling, therapy",Open 24/7,Adults,No
30,Khema International Hospital,Tuol Kouk,View Map,099667066,Service,General,View Web,General healthcare,Open 24/7,All ages,No
31,CMMC/Jeremiah's Hope Cambodia,Tuol Kouk,View Map,017603607,Service,Healthcare Provider,View Web,"Mental health consultation, counseling, therapy",Mon-Fri 8:00AM-5:00PM,Community/ Children,No
32,Procare Medical Center(International Doctors),Daun Penh,View Map,061828410,Service,General,View Web,General healthcare,Mon-Sat 8:30AM-6PM,All ages,No
33,AROM Station,Sen Sok,View Map,095991599,Service,Healthcare Provider,View Web,"Mental health consultation, counseling, therapy",Mon-Sun 6:00AM-6:00PM,Community,No
34,Sihanouk Hospital Center of HOPE,7 Makara,View Map,023882484,Hospital,Healthcare Provider,View Web,General healthcare,Mon-Sun 7:30AM-5:00PM,All ages,No
35,Olympia Medical Center,7 Makara,View Map,N/A,Service,General,View Web,General healthcare,Open 24/7,All ages,No
36,Preah Ang Duong Hospital,Daun Penh,View Map,023218875,Hospital,General,View Web,General healthcare,Mon-Sat 8:00AM-5:00PM,All ages,Yes
37,National Pediatric Hospital,Tuol Kouk,View Map,023884137,Hospital,General,View Web,General healthcare,Open 24/7,Children,Yes
38,Preah Ket Mealea Hospital,Daun Penh,View Map,023427229,Hospital,General,View Web,General healthcare,Open 24/7,Adults (military + general),Yes
39,Techo Santepheap National Hospital,Sen Sok,View Map,087781119,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
40,Preah Kossamak Hospital (Psychiatry),Tuol Kouk,View Map,017 335 774 ,Hospital,Healthcare Provider,View Web,"Mental health consultation, counseling, therapy",Open 24/7,All ages,Yes
41,Mental health clinic,Dangkor,View Map,081856007,Hospital,Mental Health Clinic,View Web,"Mental health consultation, counseling, therapy","Mon-Fri 11:30AM-8PM, Sat-Sun 8:30AM-8:00PM",All ages,No
42,Phnom Penh Meditation(សមាធិ),Tuol Kouk,View Map,012207104,Service,Meditation,Visit Web,"Meditation for mental, consultation",Mon-Sat 9:00AM-9:00PM,Adults,No
43,Luang mè hospital,Dangkor,View Map,010 228 965,Hospital,General,Visit Web,General healthcare,Mon-Sun 8:00AM-5:00PM,All ages,Yes
44,National Institute of Public Health - NIPH,Tuol Kouk,View Map,011 919 147/ 089 256 369,Hospital,General,View Web,General healthcare,Mon-Sun 7:30AM-12:00PM & 1:30-5:30-PM,All ages,Yes
45,16 Ouksaphea Hospital,Chbar Ampov,View Map,012 875 787/ 017 242 924,Hospital,General,View Web,General healthcare,Mon-Sun 7:00AM-5:00PM,All ages,Yes
46,Phnom Penh municipal referral hospital,7 Makara,View Map,077 559 983,Hospital,General,Visit Web,General healthcare,Open 24/7,All ages,Yes
47,Chaktomuk referral hospital,Russey Keo,View Map,098 597 777,Hospital,General,View Web,General healthcare,Open 24/7,All ages ,Yes
48,Samdech euv samdech mè referral hospital,Russey Keo,View Map,012 864 684/ 010 239 450,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
49,Sen Sok Cambodia-China friendship referral Hospital,Russey Keo,View Map,012 781 874,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
50,Pochentong referral hospital,Por Senchey,View Map,096 776 6883/ 012 645 579,Hospital,General,View Web,General healthcare,Open 24/7,All ages,Yes
